"","taxon","USDAcode","group","nativity","status","growthform","family","leafmass","SLA","LDMC","leaf.lobeness","leaf.PAratio","leafthickness","stom.length.mean","stom.index","Rdarea","Rdmass","Asatarea","Asatmass","Vcmax","Jmax","AQY","LSP","PNUE","WUE","CCarea","CCmass","Nmass","Narea","Nlitter","Nres","Cmass","Carea","Clitter","Solubles","Hemi","Lignin","Cellulose","Ash","Phenolics","Chlarea","Chlmass","Chlab","leafdecomp","dna","SRL","RTD","RDMC","Nroot","Croot","Ligninroot","rootdecomp","LA.gain","leafrate","rootNPP","ss.root","ss.stem","starch.root","starch.stem","nsc.root","nsc.stem","Ringporosity","vessel.frequency","metaxylem.VD","earlywood.VD","latewood.VD","stem.conductance","leaffall50","leaflifespan","emergeduration","leafduration","leafturnover","fallduration","date.chl50.sun","date.chl50.shade","leafout"
"ACPE","Acer pensylvanicum","ACPE","ena","native","native","tree; shrub","Sapindaceae",245.93,230.1721067,0.368195619,13.088,1.569,NA,21.57275,18.012,NA,NA,12.03,0.276897044,NA,NA,0.034,NA,NA,4.681624668,NA,NA,2.330671254,NA,0.59,55.08897851,47.65967477,NA,47.6,37.45,21.2,21.02790347,18.03333333,NA,19.23,36.99001545,95.50561968,2.536231884,1.54,2.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diffuse",169.028762,22.1787,27.73916182,26.937,NA,258.2699264,134.5256087,48.20153155,183.1286131,1.446452882,54.54649531,283,285,103.816468269344
"ACSP","Acer spicatum","ACSP2","ena","native","native","tree; shrub","Sapindaceae",206.84,230.6813511,0.348068811,11.154,1.337,NA,22.014,13.782,NA,NA,14.37,0.331489102,NA,NA,0.041,NA,NA,4.47166015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.12440656,99.29458774,NA,NA,1.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,235.3108381,108.3277238,75.90983841,168.4752385,1.748272022,49.33231092,NA,205,101.708127323719
"BECA","Berberis canadensis","BECA2","barberry","native","native","shrub","Berberidaceae",19.34,206.9466309,0.280903873,11.91,3.023,NA,24.85525,17.068,0.740291357,0.015257454,NA,NA,NA,NA,NA,132.7,10.59737738,4.076843292,58.86,1.351,2.531423216,1.256444982,NA,NA,46.03781087,22.26450914,NA,52.43333333,17.3,12.57922727,19.16666667,41,NA,49.95779042,107.6869408,3.515151515,NA,3.26,47.01743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diffuse",715.3547,14.5446,10.59114743,13.72,NA,NA,143.5888656,59.27415611,201.49222,1.437352086,52.7136393,NA,NA,NA
"BEKO","Berberis koreana","BEKO","barberry","alien","naturalized","shrub","Berberidaceae",20.54,200.2322866,0.337129678,10.534,3.638,NA,NA,13.879,0.846043069,0.021679432,8.75,0.175203251,NA,NA,0.024,125.9,11.29214781,2.024564589,56.07,1.353,2.381692348,1.221408552,0.62,54.48072821,46.47669137,21.5444508,46.3,NA,NA,12.8156111,NA,41,NA,NA,NA,NA,2.27,1,58.81425141,0.28,233,2.414751571,44.23448763,15.1,6.28,NA,2,NA,NA,NA,NA,NA,NA,NA,"ring",590.2,19.0392,14.26853192,4.2,8.69,280.7511342,140.3796578,56.24749454,195.1541706,1.418208785,48.64953142,NA,NA,100.564102964492
"BETH","Berberis thunbergii","BETH","barberry","alien","invasive","shrub","Berberidaceae",9.82,195.5479809,0.30701464,5.692,3.975,0.347444445,26.06775,18.666,0.808260016,0.017284084,16.31,0.318938757,42.21874065,112.6956753,0.041,179.3,11.07003188,4.506544805,59.37,1.339,2.419686722,1.407063812,0.5,59.03261779,45.24094664,25.34559958,46,61.2,15.55533333,9.939113001,15.03366667,45,14.58,59.86076534,116.3532484,2.627204301,3.03,3.39,57.86815737,0.23,237,2.488890025,44.19947328,16.4,4.96,3.570648554,2.428571429,0.057441671,3.980475256,3.737697921,12.4239403,2.621652193,16.40441556,6.359350114,"semi-ring",1377.4402,14.07236,11.40165591,3.98,3.23,288.0844328,160.0935517,47.53202847,204.2005306,1.316492285,46.63936993,298,NA,94.2600059215074
"BEVU","Berberis vulgaris","BEVU","barberry","alien","invasive","shrub","Berberidaceae",26.18,202.4318951,0.306968487,14.717,4.168,NA,29.57775,8.715,NA,NA,16.12,0.326320215,NA,NA,0.048,NA,NA,4.447571425,NA,NA,2.662004033,NA,0.68,54.89389026,45.85110448,NA,45.9,56.93333333,18.65,11.43379806,15.43333333,NA,NA,60.40576078,118.0165979,2.024,4.17,3.55,51.49935337,0.32,237,2.678701431,44.53225308,15.1,7.27,NA,0.285714286,NA,NA,NA,NA,NA,NA,NA,"ring",645.2514,19.67612,11.43137762,5.94,1.45,292.325907,162.5814957,54.02078082,205.7661284,1.294448357,46.29091692,NA,303,101.602649223941
"CAFL","Calycanthus floridus","CAFL22","ena","native","native","shrub","Calycanthaceae",72.46,268.0818353,0.267210972,7.939,1.923,0.159233334,26.842,12.022,0.720130049,0.015180322,14.06,0.37692306,36.71738977,73.76913974,0.041,NA,10.77062758,3.590453225,NA,NA,3.138523673,1.279595373,0.65,58.99315204,46.45917254,20.85668243,46.6,58.55,14.96666667,13.41178472,15.03333333,NA,16.58,46.1278901,120.4720857,3.8125,3.19,1.96,32.15126,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,"semi-ring",284.3309859,14.85723,26.83708571,22.596,NA,277.0143553,132.4249799,59.43302274,172.951404,1.368786839,47.95949192,289,282,116.961061152369
"CEOR","Celastrus orbiculatus","CEOR7","bittersweet","alien","invasive","liana","Celastraceae",60.13,208.1360851,0.24199917,13.379,4.134,0.20487037,29.57875,7.917,0.861189994,0.020188043,15.7,0.326773654,49.41346134,102.6244979,0.04,135.1,9.848648051,3.853994848,67.99,1.239,3.179448606,1.340327981,0.57,61.35278886,44.48358792,21.48764233,41.9,37.93066667,26.06666667,12.84240299,19.964,133,11.88,44.78293958,114.6185058,2.469066832,2.71,0.77,65.3391555,0.24,217,1.956797777,44.41951816,21.9,3.54,4.69661528,0.571428571,0.320113642,7.50752153,5.641221916,11.0104078,3.731044374,18.51792933,9.37226629,"ring",598.2905983,14.10248,35.82492793,10.093,4.52,268.2188643,149.4665116,30.65077364,174.335002,1.217562696,47.37397277,NA,266,113.096771448402
"CESC","Celastrus scandens","CESC","bittersweet","native","native","liana","Celastraceae",27.52,199.1901348,0.337639939,5.433,2.191,0.21862963,30.5715,8.266,0.7691145,0.01737103,15.41,0.306951998,35.09936764,117.9322994,0.037,102,9.052121259,3.356268653,49.67,1.22,2.986155446,1.365465621,0.67,57.5291557,43.27415154,20.3381142,41.3,39.61266667,27.74,11.25630131,19.42866667,128,9.68,51.956009,111.5964208,2.186915888,2.62,0.85,55.46589767,0.23,392,2.209806982,44.82529142,22.7,4.8,3.745904724,0.666666667,0.082150476,8.538623067,5.773034949,11.21336309,4.717041936,19.75198616,10.49007689,"ring",132.1933339,21.20032,30.48712626,41.582,4.97,273.9586364,144.9741533,47.7070054,185.4229882,1.320048766,46.68998003,283,271,109.723026902333
"CLAC","Clethra acuminata","CLAC3","ena","native","native","tree; shrub","Clethraceae",20,193.0253834,NA,9.216,2.806,NA,19.635,NA,NA,NA,12.78,0.24668644,NA,NA,0.034,NA,NA,2.707192467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.28,NA,NA,NA,NA,NA,NA,NA,NA,0.666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244.800963,110.054533,81.07378529,175.7636341,1.716393056,53.66638089,NA,NA,107.218084757567
